image_source,product_name,product_category,price,skin_tone,lip_shape
https://imagesmfl.s3.amazonaws.com/lipstick_images/603.jpeg,Velvet Love Lip Color B02 Bebe,BT'S,RM13.90,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/604.jpeg,Matte Lipstick Colour 3.5G - Brick Red,ALIA,RM21.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/605.jpeg,Lasting Gloss Lip 401,CEZANNE,RM29.93,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/606.jpeg,Soft Matte Lip Cream Tokyo,MIKASERIES,RM39.90,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/607.jpeg,Professional Liquid Matte Lipstick Irresisti PVM01,IN2IT,RM22.41,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/608.jpeg,Matte Styler Slim Lipcolor Sleek,SILKYGIRL,RM31.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/609.jpeg,SG GEN MATTE LIP CRM 06 P.DREM,SILKYGIRL,RM26.91,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/610.jpeg,Matte Lip Cream 24 Cherry-Go-Round,WARDAH,RM26.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/611.jpeg,Matte Lip Cream 23 Rose and Shine,WARDAH,RM26.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/612.jpeg,Matte Lip Cream 22 Rouge Velvet,WARDAH,RM26.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/613.jpeg,Lip Monster Souffle Matte M06,KATE,RM61.83,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/614.jpeg,Lip Monster 109,KATE,RM61.83,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/615.jpeg,Lip Monster 108,KATE,RM61.83,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/616.jpeg,Lip Monster Souffle Matte M07,KATE,RM61.83,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/617.jpeg,Lip Monster Souffle Matte M08,KATE,RM61.83,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/618.jpeg,Watery Glow Lipstick 01,JUDYDOLL,RM49.90,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/619.jpeg,Long Lasting Soft Matte Lip Cream 09,JUDYDOLL,RM39.90,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/620.jpeg,Watery Glow Lipstick 10,JUDYDOLL,RM49.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/621.jpeg,Watery Glow Lipstick 07,JUDYDOLL,RM49.90,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/622.jpeg,Lip Mud P17,JUDYDOLL,RM39.90,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/623.jpeg,Lip Mud P16,JUDYDOLL,RM39.90,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/624.jpeg,Lip Mud P15,JUDYDOLL,RM39.90,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/625.jpeg,Lip Mud P12,JUDYDOLL,RM39.90,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/626.jpeg,Lip Mud P10,JUDYDOLL,RM39.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/627.jpeg,Lip Mud P08,JUDYDOLL,RM39.90,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/628.jpeg,Lip Mud P04,JUDYDOLL,RM39.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/629.jpeg,Lip Mud P29,JUDYDOLL,RM39.90,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/630.jpeg,Lip Mud P26,JUDYDOLL,RM39.90,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/631.jpeg,Lip Mud P22,JUDYDOLL,RM39.90,Light,Full
